"Date","Returns","garch_sigma","msgarch_sigma","gas_sigma"
2017-08-18,-0.042112865483654,0,0,0
2017-08-19,0.00766460073757358,0,0,0
2017-08-20,-0.013053488973032,0,0,0
2017-08-21,-0.0173510855452204,0,0,0
2017-08-22,0.0059583095836313,0,0,0
2017-08-23,0.0181535299791076,0,0,0
2017-08-24,0.0479331424011864,0,0,0
2017-08-25,-0.00821948887482726,0,0,0
2017-08-26,0.0131724368457515,0,0,0
2017-08-27,-0.0063440880256973,0,0,0
2017-08-28,0.0176347320652699,0,0,0
2017-08-29,0.0447558973343103,0,0,0
2017-08-30,-0.00707458800301985,0,0,0
2017-08-31,0.0365880145562922,0,0,0
2017-09-01,0.0230182342096352,0,0,0
2017-09-02,-0.0779954731948909,0,0,0
2017-09-03,0.00822610030856907,0,0,0
2017-09-04,-0.09507933895609,0,0,0
2017-09-05,0.0629410997381523,0,0,0
2017-09-06,0.0563900179478143,0,0,0
2017-09-07,0.0154308868273265,0,0,0
2017-09-08,-0.0911688058299713,0,0,0
2017-09-09,-0.0056172227671496,0,0,0
2017-09-10,-0.0306227871969629,0,0,0
2017-09-11,0.0187321698756637,0,0,0
2017-09-12,-0.0106902557572646,0,0,0
2017-09-13,-0.054038534727658,0,0,0
2017-09-14,-0.21265671116187,0,0,0
2017-09-15,0.148619160083442,0,0,0
2017-09-16,0.00403239947876877,0,0,0
2017-09-17,-0.00403510218512437,0,0,0
2017-09-18,0.0866786630897636,0,0,0
2017-09-19,-0.0314611759096124,0,0,0
2017-09-20,-0.00257105098837407,0,0,0
2017-09-21,-0.0772715508777502,0,0,0
2017-09-22,-0.00391903758114864,0,0,0
2017-09-23,0.0499380449547946,0,0,0
2017-09-24,-0.0322553977522766,0,0,0
2017-09-25,0.0688143501531773,0,0,0
2017-09-26,-0.00984232163823151,0,0,0
2017-09-27,0.0769758277944597,0,0,0
2017-09-28,-0.00442187753670709,0,0,0
2017-09-29,4.5513397116892e-05,0,0,0
2017-09-30,0.0476683798156756,0,0,0
2017-10-01,-6.85166935276982e-06,0,0,0
2017-10-02,0.000347092192997778,0,0,0
2017-10-03,-0.0161108202726989,0,0,0
2017-10-04,-0.0238102293831535,0,0,0
2017-10-05,0.0197253314109176,0,0,0
2017-10-06,0.0176811438258788,0,0,0
2017-10-07,0.0122840489168912,0,0,0
2017-10-08,0.0478961673519738,0,0,0
2017-10-09,0.0311790991625713,0,0,0
2017-10-10,-0.000812956353072991,0,0,0
2017-10-11,0.00799005551181509,0,0,0
2017-10-12,0.118868569386366,0,0,0
2017-10-13,0.039712871383232,0,0,0
2017-10-14,0.0382009249319655,0,0,0
2017-10-15,-0.0276356579081405,0,0,0
2017-10-16,0.00872367457109213,0,0,0
2017-10-17,-0.0290676051601046,0,0,0
2017-10-18,-0.014934922770701,0,0,0
2017-10-19,0.0306991978427096,0,0,0
2017-10-20,0.0557887956033465,0,0,0
2017-10-21,0.00248608767196679,0,0,0
2017-10-22,-0.0125179192147833,0,0,0
2017-10-23,-0.00574586843701042,0,0,0
2017-10-24,-0.0770857292216736,0,0,0
2017-10-25,0.0381455074297072,0,0,0
2017-10-26,0.0297431150957941,0,0,0
2017-10-27,-0.0159823187680583,0,0,0
2017-10-28,-0.00856342064703597,0,0,0
2017-10-29,0.0757897300728061,0,0,0
2017-10-30,-0.00805180388752547,0,0,0
2017-10-31,0.0544498137473273,0,0,0
2017-11-01,0.0440383544700609,0,0,0
2017-11-02,0.0386284082799939,0,0,0
2017-11-03,0.0134504844207086,0,0,0
2017-11-04,0.0334536206710272,0,0,0
2017-11-05,-0.00164330302724736,0,0,0
2017-11-06,-0.0538244555182938,0,0,0
2017-11-07,0.0148204102227751,0,0,0
2017-11-08,0.0332680968381904,0,0,0
2017-11-09,-0.0310127273627199,0,0,0
2017-11-10,-0.0843970483801613,0,0,0
2017-11-11,-0.0410862969444779,0,0,0
2017-11-12,-0.0720313142483597,0,0,0
2017-11-13,0.1067982970486,0,0,0
2017-11-14,0.0167169243992689,0,0,0
2017-11-15,0.0963564365059799,0,0,0
2017-11-16,0.0827294680424568,0,0,0
2017-11-17,-0.0212438331774791,0,0,0
2017-11-18,0.00811717442925364,0,0,0
2017-11-19,0.0349479930766741,0,0,0
2017-11-20,0.0214162031296787,0,0,0
2017-11-21,-0.0113266916315098,0,0,0
2017-11-22,0.0105860374831224,0,0,0
2017-11-23,-0.0229186700134481,0,0,0
2017-11-24,0.0146072745846464,0,0,0
2017-11-25,0.0667797255056666,0,0,0
2017-11-26,0.0480246285326817,0,0,0
2017-11-27,0.0556091117330482,0,0,0
2017-11-28,0.0252535572155903,0,0,0
2017-11-29,-0.0213358528498802,0,0,0
2017-11-30,0.0154743947049525,0,0,0
2017-12-01,0.0916198780922475,0,0,0
2017-12-02,0.00987596270428881,0,0,0
2017-12-03,0.0249747512985863,0,0,0
2017-12-04,0.0363725061134552,0,0,0
2017-12-05,0.0103948744723557,0,0,0
2017-12-06,0.146802250253311,0,0,0
2017-12-07,0.202952215228281,0,0,0
2017-12-08,-0.0442819967650934,0,0,0
2017-12-09,-0.0802058716977481,0,0,0
2017-12-10,0.0165052865473925,0,0,0
2017-12-11,0.107317863177574,0,0,0
2017-12-12,-0.0144504481239274,0,0,0
2017-12-13,-0.0195600999850303,0,0,0
2017-12-14,0.018641634950173,0,0,0
2017-12-15,0.0711654740773753,0,0,0
2017-12-16,0.0853532976067424,0,0,0
2017-12-17,-0.0127832547214055,0,0,0
2017-12-18,-0.000199913724900469,0,0,0
2017-12-19,-0.0864154175671175,0,0,0
2017-12-20,-0.0477367273698537,0,0,0
2017-12-21,-0.0623272065443405,0,0,0
2017-12-22,-0.150602284174882,0,0,0
2017-12-23,-0.00199875304133279,0,0,0
2017-12-24,0.014925650216675,0,0,0
2017-12-25,0.014657971046752,0,0,0
2017-12-26,0.135612810748734,0,0,0
2017-12-27,-0.014705070911333,0,0,0
2017-12-28,-0.0862740851659947,0,0,0
2017-12-29,0.013780543072329,0,0,0
2017-12-30,-0.14484396306564,0,0,0
2017-12-31,0.0976713898061643,0,0,0
2018-01-01,-0.0248282262753126,0,0,0
2018-01-02,0.0923918067270399,0,0,0
2018-01-03,0.0165168909861304,0,0,0
2018-01-04,0.00934192500328912,0,0,0
2018-01-05,0.118868947965845,0,0,0
2018-01-06,0.00642960906357715,0,0,0
2018-01-07,-0.0553883271938851,0,0,0
2018-01-08,-0.0803902390303346,0,0,0
2018-01-09,-0.0343034616397908,0,0,0
2018-01-10,0.0346087321201924,0,0,0
2018-01-11,-0.118686537454003,0,0,0
2018-01-12,0.0371616133478323,0,0,0
2018-01-13,0.0336339275130335,0,0,0
2018-01-14,-0.0531105674292522,0,0,0
2018-01-15,0.00480772292394782,0,0,0
2018-01-16,-0.216880308368607,0,0,0
2018-01-17,0.00811287302797936,0,0,0
2018-01-18,-0.00244365236977195,0,0,0
2018-01-19,0.0457370031323947,0,0,0
2018-01-20,0.109271470388885,0,0,0
2018-01-21,-0.104488149133617,0,0,0
2018-01-22,-0.0691121327179776,0,0,0
2018-01-23,0.00363000375873845,0,0,0
2018-01-24,0.0497466575480257,0,0,0
2018-01-25,-0.0155135615881701,0,0,0
2018-01-26,-0.00774967531050486,0,0,0
2018-01-27,0.035610494304418,0,0,0
2018-01-28,0.0332879848959351,0,0,0
2018-01-29,-0.0543950915824976,0,0,0
2018-01-30,-0.0943985876092466,0,0,0
2018-01-31,0.00463781997538781,0,0,0
2018-02-01,-0.10883108990255,0,0,0
2018-02-02,-0.0388488171614263,0,0,0
2018-02-03,0.0361827973283564,0,0,0
2018-02-04,-0.116919138860657,0,0,0
2018-02-05,-0.164979663763315,0,0,0
2018-02-06,0.0976850136855152,0,0,0
2018-02-07,-0.00696868759335167,0,0,0
2018-02-08,0.0240562545658278,0,0,0
2018-02-09,0.109400125375595,0,0,0
2018-02-10,-0.0174171984329181,0,0,0
2018-02-11,-0.0566610109302434,0,0,0
2018-02-12,0.0989934683256255,0,0,0
2018-02-13,-0.0416390004614868,0,0,0
2018-02-14,0.101264385173986,0,0,0
2018-02-15,0.0565804096495128,0,0,0
2018-02-16,0.0158623806909155,0,0,0
2018-02-17,0.0830278055041749,0,0,0
2018-02-18,-0.0612730128352883,0,0,0
2018-02-19,0.0714972536990519,0,0,0
2018-02-20,0.00429364723937375,0,0,0
2018-02-21,-0.0705874962823732,0,0,0
2018-02-22,-0.061906388740093,0,0,0
2018-02-23,0.0320956961120018,0,0,0
2018-02-24,-0.0440442324402053,0,0,0
2018-02-25,-0.0108388570057567,0,0,0
2018-02-26,0.0737503929610206,0,0,0
2018-02-27,0.0234576908169117,0,0,0
2018-02-28,-0.0231903883044211,0,0,0
2018-03-01,0.0558573859479008,0,0,0
2018-03-02,0.0108384867194555,0,0,0
2018-03-03,0.0378191028154955,0,0,0
2018-03-04,0.00439697342093837,0,0,0
2018-03-05,-0.00531151930098339,0,0,0
2018-03-06,-0.0665562704593246,0,0,0
2018-03-07,-0.0782383951704446,0,0,0
2018-03-08,-0.0665840696328495,0,0,0
2018-03-09,-0.00482631011262846,0,0,0
2018-03-10,-0.0507720770081495,0,0,0
2018-03-11,0.0834573624361141,0,0,0
2018-03-12,-0.0431068012932485,0,0,0
2018-03-13,0.00204142655629624,0,0,0
2018-03-14,-0.113284970415519,0,0,0
2018-03-15,0.00865036001644981,0,0,0
2018-03-16,0.00230531864452566,0,0,0
2018-03-17,-0.0541264105387409,0,0,0
2018-03-18,0.045614499868865,0,0,0
2018-03-19,0.0488495263964506,0,0,0
2018-03-20,0.0354097935518247,0,0,0
2018-03-21,-0.00280753520467236,0,0,0
2018-03-22,-0.0184127101671354,0,0,0
2018-03-23,0.0198781524828551,0,0,0
2018-03-24,-0.0402659398889877,0,0,0
2018-03-25,-0.00901574596303156,0,0,0
2018-03-26,-0.0404671346142624,0,0,0
2018-03-27,-0.0425331565310518,0,0,0
2018-03-28,0.0195359475501178,0,0,0
2018-03-29,-0.114378788004737,0,0,0
2018-03-30,-0.0358837296702603,0,0,0
2018-03-31,0.0121592821624663,0,0,0
2018-04-01,-0.0161466193899518,0,0,0
2018-04-02,0.0350442991318545,0,0,0
2018-04-03,0.0483054878299036,0,0,0
2018-04-04,-0.0858348882950022,0,0,0
2018-04-05,-0.00373557764542909,0,0,0
2018-04-06,-0.0253331076753192,0,0,0
2018-04-07,0.0436322977019881,0,0,0
2018-04-08,0.0175657465403916,0,0,0
2018-04-09,-0.0341000757188716,0,0,0
2018-04-10,0.00897954314265093,0,0,0
2018-04-11,0.0159290900979485,0,0,0
2018-04-12,0.130483087300355,0,0,0
2018-04-13,-0.00577075234354041,0,0,0
2018-04-14,0.0153186143826076,0,0,0
2018-04-15,0.0435423780251849,0,0,0
2018-04-16,-0.0353363699242184,0,0,0
2018-04-17,-0.0225590352497189,0,0,0
2018-04-18,0.0358712816605724,0,0,0
2018-04-19,0.0127653547925473,0,0,0
2018-04-20,0.0676044553974187,0,0,0
2018-04-21,0.00656417484132277,0,0,0
2018-04-22,-0.0144943909644883,0,0,0
2018-04-23,0.0165897096479615,0,0,0
2018-04-24,0.0739778829272808,0,0,0
2018-04-25,-0.0811695562508987,0,0,0
2018-04-26,0.0436781180693195,0,0,0
2018-04-27,-0.0385772767752872,0,0,0
2018-04-28,0.047387906457443,0,0,0
2018-04-29,0.00756650916406798,0,0,0
2018-04-30,-0.018536818726453,0,0,0
2018-05-01,-0.019056680995627,0,0,0
2018-05-02,0.0192545846236953,0,0,0
2018-05-03,0.0528772742674608,0,0,0
2018-05-04,-0.00370017052877536,0,0,0
2018-05-05,0.0153246513810625,0,0,0
2018-05-06,-0.0210006073615592,0,0,0
2018-05-07,-0.0309118226044323,0,0,0
2018-05-08,-0.0191289407661763,0,0,0
2018-05-09,0.0132386961590996,0,0,0
2018-05-10,-0.033620099379986,0,0,0
2018-05-11,-0.069237286059721,0,0,0
2018-05-12,0.00781934905213078,0,0,0
2018-05-13,0.0249370630744803,0,0,0
2018-05-14,-0.0018877884641455,0,0,0
2018-05-15,-0.0235147772138582,0,0,0
2018-05-16,-0.0157220961191236,0,0,0
2018-05-17,-0.0352527974339143,0,0,0
2018-05-18,0.0243666266582707,0,0,0
2018-05-19,-0.000767302278241289,0,0,0
2018-05-20,0.0350252711415013,0,0,0
2018-05-21,-0.017239379358676,0,0,0
2018-05-22,-0.0494196844285462,0,0,0
2018-05-23,-0.0614132037310231,0,0,0
2018-05-24,0.00969168477845095,0,0,0
2018-05-25,-0.015701482964916,0,0,0
2018-05-26,-0.0166375729770287,0,0,0
2018-05-27,0.000685615393908989,0,0,0
2018-05-28,-0.0332473019212891,0,0,0
2018-05-29,0.0497743924611012,0,0,0
2018-05-30,-0.0115022582722553,0,0,0
2018-05-31,0.0146762906299482,0,0,0
2018-06-01,0.00479808357776257,0,0,0
2018-06-02,0.0157010924184853,0,0,0
2018-06-03,0.00966903429778121,0,0,0
2018-06-04,-0.0299023809215235,0,0,0
2018-06-05,0.018264139244927,0,0,0
2018-06-06,0.00442821376009839,0,0,0
2018-06-07,0.00420067953554515,0,0,0
2018-06-08,-0.0114604393246598,0,0,0
2018-06-09,-0.0148010309730218,0,0,0
2018-06-10,-0.102038962066379,0,0,0
2018-06-11,0.015694401256896,0,0,0
2018-06-12,-0.051048241393616,0,0,0
2018-06-13,-0.0370039988334252,0,0,0
2018-06-14,0.0531034140049691,0,0,0
2018-06-15,-0.0379442488638748,0,0,0
2018-06-16,0.0147724097569331,0,0,0
2018-06-17,-0.00531485548962785,0,0,0
2018-06-18,0.0399458369222572,0,0,0
2018-06-19,0.00427393324847358,0,0,0
2018-06-20,0.00300680385790919,0,0,0
2018-06-21,-0.00633071730489654,0,0,0
2018-06-22,-0.105684036520302,0,0,0
2018-06-23,0.0172173457138634,0,0,0
2018-06-24,-0.00211769476755208,0,0,0
2018-06-25,0.0185702775461642,0,0,0
2018-06-26,-0.0294143149196238,0,0,0
2018-06-27,0.0103159501289998,0,0,0
2018-06-28,-0.0466812759721211,0,0,0
2018-06-29,0.0570919800962901,0,0,0
2018-06-30,0.0305314710532549,0,0,0
2018-07-01,-0.00521854375051944,0,0,0
2018-07-02,0.0398569571685989,0,0,0
2018-07-03,-0.0154514219117381,0,0,0
2018-07-04,0.011162758917985,0,0,0
2018-07-05,-0.00881054907261358,0,0,0
2018-07-06,0.0122659461072736,0,0,0
2018-07-07,0.022025674267196,0,0,0
2018-07-08,-0.00666417692937671,0,0,0
2018-07-09,-0.0074741155247473,0,0,0
2018-07-10,-0.0563787153338708,0,0,0
2018-07-11,0.0128065068707635,0,0,0
2018-07-12,-0.0201928841651391,0,0,0
2018-07-13,-0.00577612447044906,0,0,0
2018-07-14,0.00600327795039313,0,0,0
2018-07-15,0.0160289032728702,0,0,0
2018-07-16,0.0566578258813841,0,0,0
2018-07-17,0.0846739978045523,0,0,0
2018-07-18,0.00877051802308593,0,0,0
2018-07-19,0.0113564495565264,0,0,0
2018-07-20,-0.0173852338763183,0,0,0
2018-07-21,0.00831284802166543,0,0,0
2018-07-22,-0.000539423559931862,0,0,0
2018-07-23,0.0431694863012382,0,0,0
2018-07-24,0.083957895934418,0,0,0
2018-07-25,-0.0267440792484894,0,0,0
2018-07-26,-0.0317677953544528,0,0,0
2018-07-27,0.0333480736191305,0,0,0
2018-07-28,0.00444388041603005,0,0,0
2018-07-29,-0.00170844113484314,0,0,0
2018-07-30,-0.00452612076238523,0,0,0
2018-07-31,-0.0557194321230075,0,0,0
2018-08-01,-0.0164784684795176,0,0,0
2018-08-02,-0.01042553901822,0,0,0
2018-08-03,-0.0143105351679385,0,0,0
2018-08-04,-0.0566997469259451,0,0,0
2018-08-05,0.00204502983122445,0,0,0
2018-08-06,-0.0128048079501202,0,0,0
2018-08-07,-0.0314580150641159,0,0,0
2018-08-08,-0.0669312410244167,0,0,0
2018-08-09,0.0382089414640792,0,0,0
2018-08-10,-0.0608971600580759,0,0,0
2018-08-11,0.0142758452890508,0,0,0
2018-08-12,0.0121175135164133,0,0,0
2018-08-13,-0.0098736890997877,0,0,0
2018-08-14,-0.00937243227841655,0,0,0
2018-08-15,0.0126984405980508,0,0,0
2018-08-16,0.00708967418807482,0,0,0
2018-08-17,0.0423039077871845,0,0,0
2018-08-18,-0.0303019148563859,0,0,0
2018-08-19,0.0139242962674473,0,0,0
2018-08-20,-0.0349837008045029,0,0,0
2018-08-21,0.0353649463088423,0,0,0
2018-08-22,-0.018552205695519,0,0,0
2018-08-23,0.0254741811059667,0,0,0
2018-08-24,0.0237209806235601,0,0,0
2018-08-25,0.0077523928581904,0,0,0
2018-08-26,-0.00500833285946278,0,0,0
2018-08-27,0.0306652758034129,0,0,0
2018-08-28,0.0239515194823117,0,0,0
2018-08-29,-0.00636408895371865,0,0,0
2018-08-30,-0.00661814650998238,0,0,0
2018-08-31,0.00376821048841514,0,0,0
2018-09-01,0.0265721182025764,0,0,0
2018-09-02,0.0140672378103837,0,0,0
2018-09-03,-0.00535393241702664,0,0,0
2018-09-04,0.0131364868896284,0,0,0
2018-09-05,-0.0938246807960006,0,0,0
2018-09-06,-0.0278453009744428,0,0,0
2018-09-07,-0.0186613529871007,0,0,0
2018-09-08,-0.0334657825492268,0,0,0
2018-09-09,0.0105759654648061,0,0,0
2018-09-10,0.00974152819261853,0,0,0
2018-09-11,-0.00271121321062751,0,0,0
2018-09-12,0.00691970880844828,0,0,0
2018-09-13,0.0231976720697116,0,0,0
2018-09-14,-0.00165843785432251,0,0,0
2018-09-15,0.00590075752350927,0,0,0
2018-09-16,-0.00152995891582464,0,0,0
2018-09-17,-0.0401992701853082,0,0,0
2018-09-18,0.0139468329382435,0,0,0
2018-09-19,0.0087113245872299,0,0,0
2018-09-20,0.0155406503477113,0,0,0
2018-09-21,0.0403072594790999,0,0,0
2018-09-22,-0.00533598851616901,0,0,0
2018-09-23,-0.00224107665431283,0,0,0
2018-09-24,-0.0190548747324666,0,0,0
2018-09-25,-0.0205473065193562,0,0,0
2018-09-26,0.00272291082733744,0,0,0
2018-09-27,0.0340622473040462,0,0,0
2018-09-28,-0.00818845573814642,0,0,0
2018-09-29,-0.00577435139132021,0,0,0
2018-09-30,0.00456631121771167,0,0,0
2018-10-01,-0.00226013037565842,0,0,0
2018-10-02,-0.0130651758761378,0,0,0
2018-10-03,-0.00242256245649486,0,0,0
2018-10-04,0.0127888407881738,0,0,0
2018-10-05,0.00632833131257193,0,0,0
2018-10-06,-0.00625553819513058,0,0,0
2018-10-07,0.00317801127915374,0,0,0
2018-10-08,0.00869193109145172,0,0,0
2018-10-09,-0.00246068654247189,0,0,0
2018-10-10,-0.00385472356749617,0,0,0
2018-10-11,-0.0587454505468674,0,0,0
2018-10-12,0.00722353864336256,0,0,0
2018-10-13,0.00552929377665379,0,0,0
2018-10-14,0.00101165782400336,0,0,0
2018-10-15,0.0631381446007513,0,0,0
2018-10-16,0.00100208937341684,0,0,0
2018-10-17,-0.00272293237359023,0,0,0
2018-10-18,-0.0182537057748782,0,0,0
2018-10-19,-0.0137028454114407,0,0,0
2018-10-20,0.00907511442824216,0,0,0
2018-10-21,0.000259513406234646,0,0,0
2018-10-22,-0.00135294080225989,0,0,0
2018-10-23,-0.00421631555187041,0,0,0
2018-10-24,0.00182788233843389,0,0,0
2018-10-25,-0.005714261985446,0,0,0
2018-10-26,0.00161325907128251,0,0,0
2018-10-27,-0.00506431895086834,0,0,0
2018-10-28,-0.00241159961840332,0,0,0
2018-10-29,-0.0226634489786548,0,0,0
2018-10-30,-0.00215062838456959,0,0,0
2018-10-31,0.00646473895536559,0,0,0
2018-11-01,0.00595686450695077,0,0,0
2018-11-02,0.00373404939325717,0,0,0
2018-11-03,-0.00731455472307019,0,0,0
2018-11-04,0.0153441152804277,0,0,0
2018-11-05,-0.00260288965651689,0,0,0
2018-11-06,0.00771787232700838,0,0,0
2018-11-07,0.00906281183811686,0,0,0
2018-11-08,-0.0151048566904795,0,0,0
2018-11-09,-0.00927925863306456,0,0,0
2018-11-10,0.00203220475384214,0,0,0
2018-11-11,0.00260190818736383,0,0,0
2018-11-12,0.000505313553155418,0,0,0
2018-11-13,0.000711036508915797,0,0,0
2018-11-14,-0.086523562421549,0,0,0
2018-11-15,-0.0289524762444326,0,0,0
2018-11-16,-0.017084664071227,0,0,0
2018-11-17,-0.00490065433579367,0,0,0
2018-11-18,0.00597152069117612,0,0,0
2018-11-19,-0.142497134922312,0,0,0
2018-11-20,-0.0742074594963107,0,0,0
2018-11-21,0.0221724432431749,0,0,0
2018-11-22,-0.0644820264067629,0,0,0
2018-11-23,0.0115146865095106,0,0,0
2018-11-24,-0.117017597252913,0,0,0
2018-11-25,0.0382525541931376,0,0,0
2018-11-26,-0.0562756832527462,0,0,0
2018-11-27,0.00336288558079367,0,0,0
2018-11-28,0.095807155451606,0,0,0
2018-11-29,0.00724010222824489,0,0,0
2018-11-30,-0.0610757412843022,0,0,0
2018-12-01,0.0361341359115137,0,0,0
2018-12-02,-0.00694767392598195,0,0,0
2018-12-03,-0.0688897081753037,0,0,0
2018-12-04,0.0172625575279248,0,0,0
2018-12-05,-0.0470981223779816,0,0,0
2018-12-06,-0.0717727115470463,0,0,0
2018-12-07,-0.0304408441364821,0,0,0
2018-12-08,0.00216597682735831,0,0,0
2018-12-09,0.0386575455082756,0,0,0
2018-12-10,-0.0322429678784726,0,0,0
2018-12-11,-0.0154084715606153,0,0,0
2018-12-12,0.0189328170116028,0,0,0
2018-12-13,-0.0423773883271998,0,0,0
2018-12-14,-0.0238709633556571,0,0,0
2018-12-15,-0.00386893359891616,0,0,0
2018-12-16,0.00526366854646909,0,0,0
2018-12-17,0.0832836071289744,0,0,0
2018-12-18,0.0401893779867724,0,0,0
2018-12-19,0.00252624806268642,0,0,0
2018-12-20,0.100553528647159,0,0,0
2018-12-21,-0.0534997021897343,0,0,0
2018-12-22,0.0283162440987343,0,0,0
2018-12-23,-0.00487395965505577,0,0,0
2018-12-24,0.0197292269795764,0,0,0
2018-12-25,-0.0676623161360599,0,0,0
2018-12-26,0.008493404576571,0,0,0
2018-12-27,-0.0571459570455612,0,0,0
2018-12-28,0.0732996495112843,0,0,0
2018-12-29,-0.0382124855270991,0,0,0
2018-12-30,0.0284364178657821,0,0,0
2018-12-31,-0.0263872755984913,0,0,0
2019-01-01,0.0251318553481994,0,0,0
2019-01-02,0.0160459050947939,0,0,0
2019-01-03,-0.0240735317857386,0,0,0
2019-01-04,0.00667569642698851,0,0,0
2019-01-05,-0.00556661056611496,0,0,0
2019-01-06,0.0558599352124265,0,0,0
2019-01-07,-0.00305159692043766,0,0,0
2019-01-08,-0.00512447878147348,0,0,0
2019-01-09,0.00290843929537488,0,0,0
2019-01-10,-0.100917998605894,0,0,0
2019-01-11,0.00429375700546686,0,0,0
2019-01-12,-0.00506094804994461,0,0,0
2019-01-13,-0.0301215133856036,0,0,0
2019-01-14,0.0420397260398371,0,0,0
2019-01-15,-0.0203457287298026,0,0,0
2019-01-16,0.0108554019840863,0,0,0
2019-01-17,0.00676191004684767,0,0,0
2019-01-18,-0.00591868688088226,0,0,0
2019-01-19,0.0194023581934726,0,0,0
2019-01-20,-0.034986870748801,0,0,0
2019-01-21,-0.00350401848437087,0,0,0
2019-01-22,0.0124067679236131,0,0,0
2019-01-23,-0.00508441172523355,0,0,0
2019-01-24,0.00471749320643688,0,0,0
